data_pubblicazione;titolo;tipo;difficolta;sentiero;lat_part;lon_part;lat_arr;lon_arr;part_dec;arr_dec;area;url;traccia_gpx;slug_proposto;note
2011-08-28;Margone (1413 m) - Rifugio Cibrario (2621 m);escursione;EE;118;"45°13'7.74""N";"7°11'24.62""E";"45°14'48.40""N";"7°8'49.71""E";45.21882,7.19017;45.24678,7.14714;Valli di Lanzo;https://naturetrailonblog.blogspot.com/2011/08/margone-1413-mt-rifugio-cibrario-2621-mt.html;;;
2011-08-20;Rifugio Chivasso (2600 m) - Colle Leynir (3100 m);escursione;EE;3B;"45°28'52.50""N";"7°8'31.36""E";"45°31'10.41""N";"7°8'23.16""E";45.48125,7.14204;45.51956,7.13977;Nivolet / Gran Paradiso;https://naturetrailonblog.blogspot.com/2011/08/rifugio-chivasso-2600-mt-colle-leynir.html;;;
2011-08-19;Pian della Mussa (1850 m) - Rifugio Gastaldi (2659 m);escursione;EE;;"45°18'22.72""N";"7°9'52.72""E";"45°17'51.92""N";"7°8'36.00""E";45.30631,7.16464;45.29776,7.14333;Valli di Lanzo;https://naturetrailonblog.blogspot.com/2011/08/pian-della-mussa-1850-mt-rifugio.html;;;
2011-08-17;Lago Malciaussia (1814 m) - Rifugio Tazzetti (2640 m);escursione;EE;111;"45°12'29.60""N";"7°8'37.36""E";"45°12'36.04""N";"7°27'31.77""E";45.20822,7.14371;45.21001,7.45883;Valli di Lanzo;https://naturetrailonblog.blogspot.com/2011/08/lago-malciaussia-1814-mt-rifugio.html;;;coordinate arrivo sospette: longitudine incoerente con la partenza
2011-07-03;Pra Catinat (1785 m) - Colle dell'Assietta (2472 m);escursione;T;;;;"45°4'13.48""N";"6°57'25.70""E";;45.07041,6.95714;Val Chisone;https://naturetrailonblog.blogspot.com/2011/07/pra-catinat-1785mt-colle-dellassietta.html;;;coordinate di partenza assenti nel post
2011-06-26;Champorcher (1760 m) - Rif. Barbustel (2200 m);escursione;E;10;"45°37'44.17""N";"7°36'20.22""E";"45°38'56.58""N";"7°35'18.23""E";45.62894,7.60562;45.64905,7.58840;Valle d'Aosta;https://naturetrailonblog.blogspot.com/2011/06/champorcher-1760mt-rif-barbustel-2200mt.html;;;
2011-06-19;La Ville Veulla (1298 m) - Lago della Servaz (1801 m);escursione;T+E;5C;;;;;;;Valle d'Aosta;https://naturetrailonblog.blogspot.com/2017/07/la-ville-veulla-1298mt-lago-della.html;;;ANOMALIA: post del 2011 ma URL sotto /2017/07/
2012-07-26;Rifugio Chivasso (2600 m) - Colle Basey (3100 m);escursione;EE;3C;"45°28'52.50""N";"7°8'31.36""E";"45°31'10.41""N";"7°8'23.16""E";45.48125,7.14204;45.51956,7.13977;Nivolet / Gran Paradiso;https://naturetrailonblog.blogspot.com/2012/07/rifugio-chivasso-2600-mt-colle-basey.html;;;coordinate identiche a Colle Leynir 2011: da verificare
2012-07-15;Lities (1143 m) - Bellavarda (2345 m);escursione;EE;329;"45°21'14.00""N";"7°23'2.96""E";"45°22'31.37""N";"7°23'14.61""E";45.35389,7.38416;45.37538,7.38739;Valli di Lanzo;https://naturetrailonblog.blogspot.com/2012/07/lities-1143-mt-bellavarda-2345-mt.html;;;
2012-07-08;Pian Audi (869 m) - Rifugio Alpe Soglia (1710 m);escursione;E;411;"45°20'27.95""N";"7°31'26.54""E";"45°21'58.38""N";"7°31'7.59""E";45.34110,7.52404;45.36622,7.51877;Alta Via Canavesana;https://naturetrailonblog.blogspot.com/2012/07/pian-audi-869-mt-rifugio-alpe-soglia.html;;;
2012-07-01;Mecca (932 m) - Rifugio Salvin (1586 m);escursione;E;;"45°18'50.22""N";"7°26'9.43""E";"45°20'57.27""N";"7°25'56.09""E";45.31395,7.43595;45.34924,7.43225;Valli di Lanzo;https://naturetrailonblog.blogspot.com/2012/07/mecca-932-mt-rifugio-salvin-1586-mt.html;;;
2012-04-25;ANELLO - Monte Basso, Monte Corno, Il Turu (1355 m);escursione;EE;101A/101B/101SN;"45°16'5.39""N";"7°28'52.28""E";"45°16'5.39""N";"7°28'52.28""E";45.26816,7.48119;45.26816,7.48119;Valli di Lanzo;https://naturetrailonblog.blogspot.com/2012/04/anello-monte-basso-1184-mt-monte-corno.html;;;"anello; sentiero ripristinato dalla Guardia Forestale nel 2014"
2013-05-09;Le Alte Quote: Tra Medicina Tradizionale e Scienza Moderna;articolo;;;;;;;;;;https://naturetrailonblog.blogspot.com/2013/05/trakking-in-alta-quota.html;;;
2013-05-09;Spopolamento montano;articolo;;;;;;;;;;https://naturetrailonblog.blogspot.com/2013/05/spopolamento-montano.html;;;
2013-05-09;Bivacco;articolo;;;;;;;;;;https://naturetrailonblog.blogspot.com/2013/05/bivacco.html;;;
2013-05-09;Wilderness;articolo;;;;;;;;;;https://naturetrailonblog.blogspot.com/2013/05/wilderness.html;;;
2026-08-05;Forcella Medesc (da Rudiferia);escursione;;;;;;;;;Fanes-Sennes-Braies;https://naturetrailonblog.blogspot.com/2026/08/forcella-medesc-rudiferia.html;;;
